ITEM,VENDOR,BRAND,VENDOR_CODE,UNIT_TYPE,SUBUNIT,SUBUNIT_SIZE,UNIT_PRICE,LAST_UPDATE,ACCOUNT,FLAG
"THYME, DOMESTIC 1-LB.",STAN SETAS,,5235,CASE,,,$9.75 ,2025-09-04,KITCHEN,
TOMATILLOS,STAN SETAS,,4565,LB,,,$2.65 ,2025-09-10,KITCHEN,
TOMATILLOS,STAN SETAS,,4565,LB,,,$2.75 ,2025-09-11,KITCHEN,
TOMATILLOS,STAN SETAS,,4565,LB,,,$2.65 ,2025-09-04,KITCHEN,
"TOMATOES, 5X6 25#",STAN SETAS,,4595,CASE,,,$36.50 ,2025-09-10,KITCHEN,
"TOMATOES, 5X6 25#",STAN SETAS,,4595,CASE,,,$32.50 ,2025-09-17,KITCHEN,
"TOMATOES, 5X6 25#",STAN SETAS,,4595,CASE,,,$32.50 ,2025-09-06,KITCHEN,
"TOMATOES, GRAPE",STAN SETAS,,4670,CASE,,,$26.95 ,2025-09-13,KITCHEN,
"TOMATOES, GRAPE",STAN SETAS,,4670,CASE,,,$26.95 ,2025-09-16,KITCHEN,
"TOMATOES, GRAPE",STAN SETAS,,4670,CASE,,,$26.95 ,2025-09-03,KITCHEN,
"TOMATOES, GRAPE",STAN SETAS,,4670,CASE,,,$26.95 ,2025-09-04,KITCHEN,
"TOMATOES, GRAPE",STAN SETAS,,4670,CASE,,,$26.95 ,2025-09-05,KITCHEN,
"YUKON GOLD POTATOES, SIZE B",STAN SETAS,,0,LB,,,$1.25 ,2025-09-12,KITCHEN,
"ZUCCHINI, FANCY",STAN SETAS,,4545,CASE,,,$29.80 ,2025-09-03,KITCHEN,
BAGEL ASSORTED SLICED 3 OUNCE,SYSCO,BAKER'S SOURCE,7102253,CASE,15.0,6 CT,45.78,2025-09-24,BAKERY,
BAKLAVA CLASSIC PRESLICED,SYSCO,KRONOS CENTRAL,6843268,CASE,2.0,36 CT,62.95,2025-09-26,BAKERY,
BATTER MUFFIN BANANA NUT,SYSCO,PILLSBURY BAKERIES,1357847,CASE,6.0,3 LB,76.53,2025-09-26,BAKERY,
BATTER MUFFIN LEMON POPPYSEED,SYSCO,BAKER'S SOURCE,1795574,CASE,2.0,8 LB,49.22,2025-09-05,BAKERY,
BATTER MUFFING BLUEBERRY,SYSCO,PILLSBURY BAKERIES,1357854,CASE,6.0,3 LB,82.96,2025-09-26,BAKERY,
BEAN VANILLA PASTE QUART,SYSCO,NIELSON MASSEY,7012878,EACH,1.0,32 OZ,73.13,2025-07-04,BAKERY,
BREAD FOCACCIA HERB 1/2 SHEET,SYSCO,FIREKING BAKING,7633096,CASE,3.0,1 CT,29.73,2025-09-24,BAKERY,
BREAD WHEAT .56 INCH SLICED,SYSCO,BAKER'S SOURCE,488581,CASE,12.0,28 OZ,41.09,2025-08-19,BAKERY,
BREAD WHITE .563 INCH SLICED,SYSCO,BAKER'S SOURCE,2473425,CASE,12.0,28 OZ,44.01,2025-09-12,BAKERY,
BREADSTICK WHITE 7 INCH - 8 INCH,SYSCO,BAKER'S SOURCE,2451197,CASE,12.0,12 CT,35.47,2025-09-26,BAKERY,
CAKE CARROT GOURMET 14 CUT 9 INCH,SYSCO,IMPERIAL,6647804,CASE,2.0,96 OZ,73.86,2025-07-11,BAKERY,
CAKE CHOCOLATE MOUSSE,SYSCO,BROOKLYN CANNOLI,8381475,CASE,1.0,3.5 LB,30.84,2025-09-26,BAKERY,
CAKE CHOCOLATE ULTIMATE 14 SLICE,SYSCO,IMPERIAL,234534,CASE,2.0,90 OZ,64.33,2025-09-26,BAKERY,
CAKE LEMON LECHE,SYSCO,IMPERIAL,7209187,CASE,2.0,8.2 LB,87.93,2025-09-26,BAKERY,
CAKE POUND,SYSCO,BAKER'S SOURCE,1617000,CASE,12.0,12 OZ,43.45,2025-09-26,BAKERY,
CAKE SHEET TUXEDO TRUFFLE MOUSSE,SYSCO,THE ORIGINAL CAKERIE CO,8554990,CASE,2.0,185 OZ,151.57,2025-09-19,BAKERY,
CHEESECAKE NEW YORK 16 CUT 10 INCH,SYSCO,IMPERIAL,6648901,CASE,2.0,64 OZ,45.4,2025-09-26,BAKERY,
"CHEESECAKES ASSORTED BUFFET 14 CUT 8""",SYSCO,CLASSIC,234419,CASE,4.0,30 OZ,52.38,2025-09-26,BAKERY,
CHOCOLATE CHIPS IMITATION 4000 COUNT,SYSCO,CLASSIC,5340948,CASE,1.0,10 LB,31.64,2025-10-03,BAKERY,
CHURRO PREEFRIED PLAIN,SYSCO,HOLA CHURRO,1243351,CASE,1.0,100 CT,50.65,2025-09-26,BAKERY,
COCOA POWDER 10-12% BUTTERFAT,SYSCO,CHEFS COMPANION,5874847,EACH,1.0,5 LB,50.52,2025-07-11,BAKERY,
COOKIE CHOCOLATE CHIP INDIVIDUALLY WRAPPED 2 OUNCE,SYSCO,BAKER'S SOURCE,105831,CASE,48.0,2 OZ,31.98,2025-07-11,BAKERY,
COOKIE SNICKERDOODLE GLUTEN-FREE INDIVIDUALLY WRAPPED,SYSCO,UDI'S HEALTHY FOODS,1491352,CASE,36.0,1.8 OZ,37.7,2025-07-15,BAKERY,
CRACKER GRAHAM HONEY,SYSCO,KELLOGG'S,4008116,CASE,1.0,10 LB,37.74,2025-07-11,BAKERY,
CROISSANT MARGARINE CURVED SLICED,SYSCO,BAKER'S SOURCE,9805649,CASE,4.0,18 CT,56.38,2025-08-08,BAKERY,
DESSERT BAR VARIETY 8-PACK 2 POUND TRAY,SYSCO,SWEET STREET,4290474,CASE,8.0,8 CT,140.9,2025-09-26,BAKERY,
DONUT CAKE CHOCOLATE GLAZED OLD FASHIONED,SYSCO,BAKER'S SOURCE,7125242,CASE,72.0,2.5 OZ,47.59,2025-09-26,BAKERY,
DONUT YEAST RING GLAZED,SYSCO,BAKER'S SOURCE,7125250,CASE,72.0,2.5 OZ,34.39,2025-09-24,BAKERY,
DOUGH COOKIE CARNIVAL 1.33 OUNCE,SYSCO,OTIS SPUNKMEYER,7523145,CASE,240.0,1.33 OZ,68.76,2025-09-24,BAKERY,
DOUGH COOKIE CHOCOLATE CHIP,SYSCO,BAKER'S SOURCE,7134864,CASE,108.0,3 OZ,65.43,2025-09-26,BAKERY,
DOUGH COOKIE CHOCOLATE CHIP,SYSCO,OTIS SPUNKMEYER,1412642,CASE,240.0,1.33 OZ,60.75,2025-09-05,BAKERY,
DOUGH COOKIE CHOCOLATE CHUNK,SYSCO,BEST MAID COOKIE,3105602,CASE,200.0,1.5 OZ,82.91,2025-08-22,BAKERY,
DOUGH COOKIE CRANBERRY WHITE CHOCOLATE,SYSCO,OTIS SPUNKMEYER,6206619,CASE,104.0,3 OZ,98.93,2025-09-26,BAKERY,
DOUGH COOKIE OATMEAL RAISIN,SYSCO,OTIS SPUNKMEYER,1412667,CASE,240.0,1.33 OZ,54.27,2025-08-26,BAKERY,
DOUGH COOKIE PEANUT BUTTER,SYSCO,OTIS SPUNKMEYER,1412683,CASE,240.0,1.33 OZ,57.1,2025-08-19,BAKERY,
DOUGH COOKIE SUGAR BATTER,SYSCO,OTIS SPUNKMEYER,1454479,CASE,240.0,1.33 OZ,54.14,2025-09-24,BAKERY,
DOUGH DANISH MINI SELECTION,SYSCO,SCHULSTAD,2437176,CASE,120.0,1.5 OZ,65.86,2025-09-17,BAKERY,
DOUGH ROLL CINNAMON FREEZER TO OVEN,SYSCO,PILLSBURY BAKERIES,1853845,CASE,200.0,1.5 OZ,68.88,2025-09-19,BAKERY,
ICE CREAM CHOCOLATE,SYSCO,ASHBY'S,2179905,CASE,1.0,3 GAL,35.13,2025-08-13,BAKERY,
ICE CREAM SCOOP VANILLA BEAN,SYSCO,BLUE BUNNY,7417779,CASE,36.0,4 OZ,33.33,2025-09-26,BAKERY,
ICE CREAM VANILLA PREMIUM,SYSCO,ASHBY'S,2471789,CASE,1.0,3 GAL,37.22,2025-08-08,BAKERY,
ICING BUTTERCREAM WHITE WITH ZERO-TRANS-FAT,SYSCO,RICH'S PRODUCTS,3911128,CASE,1.0,30 LB,99.6,2025-08-08,BAKERY,
ICING FONDANT WHITE ROLLING,SYSCO,AMERO FOODS,8486035,CASE,2.0,5 LB,58.51,2025-08-06,BAKERY,
PAN COATING PROFESSIONAL,SYSCO,SUPREME,5204383,CASE,6.0,16 OZ,42.28,2025-09-26,BAKERY,
"PIE APPLE OLD FASHIONED READY-TO-BAKE 10""",SYSCO,IMPERIAL,9789934,CASE,6.0,49 OZ,49.01,2025-09-26,BAKERY,
"PIE BANANA CREAM THAW & SERVE 10""",SYSCO,CLASSIC,9788936,CASE,6.0,27 OZ,37.45,2025-09-12,BAKERY,
"PIE CHOCOLATE CREAM THAW & SERVE 10""",SYSCO,CLASSIC,9789686,CASE,6.0,27 OZ,38.13,2025-09-26,BAKERY,
PIE FRUIT FOREST MIXED READY-TO-BAKE OLD FASHIONED,SYSCO,IMPERIAL,9785601,CASE,6.0,48 OZ,69.16,2025-09-19,BAKERY,
PIE KEY LIME DEEP DISH 10 INCH 8 SCORE,SYSCO,KENNY'S GREAT PIES,4107247,CASE,4.0,36 OZ,66.56,2025-09-26,BAKERY,
"PIE LEMON MERENGUE THAW & SERVE 10""",SYSCO,IMPERIAL,9809153,CASE,4.0,46 OZ,43.64,2025-08-08,BAKERY,
