ITEM_NAME,VENDOR,BRAND,VENDOR_CODE,UNIT_TYPE,SUBUNIT,SUBUNIT_SIZE,UNIT_PRICE,LAST_UPDATE,ACCOUNT,FLAG
ICING BUTTERCREAM WHITE WITH ZERO-TRANS-FAT,SYSCO,RICH'S PRODUCTS,3911128,CASE,1,30 LB,99.6,8/8/2025,BAKERY,
ICING FONDANT WHITE ROLLING,SYSCO,AMERO FOODS,8486035,CASE,2,5 LB,58.51,8/6/2025,BAKERY,
PAN COATING PROFESSIONAL,SYSCO,SUPREME,5204383,CASE,6,16 OZ,42.28,9/26/2025,BAKERY,
"PIE APPLE OLD FASHIONED READY-TO-BAKE 10""",SYSCO,IMPERIAL,9789934,CASE,6,49 OZ,49.01,9/26/2025,BAKERY,
"PIE BANANA CREAM THAW & SERVE 10""",SYSCO,CLASSIC,9788936,CASE,6,27 OZ,37.45,9/12/2025,BAKERY,
"PIE CHOCOLATE CREAM THAW & SERVE 10""",SYSCO,CLASSIC,9789686,CASE,6,27 OZ,38.13,9/26/2025,BAKERY,
PIE FRUIT FOREST MIXED READY-TO-BAKE OLD FASHIONED,SYSCO,IMPERIAL,9785601,CASE,6,48 OZ,69.16,9/19/2025,BAKERY,
PIE KEY LIME DEEP DISH 10 INCH 8 SCORE,SYSCO,KENNY'S GREAT PIES,4107247,CASE,4,36 OZ,66.56,9/26/2025,BAKERY,
"PIE LEMON MERENGUE THAW & SERVE 10""",SYSCO,IMPERIAL,9809153,CASE,4,46 OZ,43.64,8/8/2025,BAKERY,
PIE PEANUT BUTTER WITH REESE'S PIECES 14 CUT,SYSCO,IMPERIAL,6281497,CASE,2,88 OZ,69.35,9/17/2025,BAKERY,
"PIE PUMPKIN THAW & SERVE 10""",SYSCO,CLASSIC,9792771,CASE,6,43 OZ,42.38,9/26/2025,BAKERY,
PLATE FOAM UNLAMINATED WHITE 6 INCH,SYSCO,RELIANCE,8645753,CASE,8,125 CT,28.66,7/11/2025,BAKERY,
ROLL DINNER WHOLE GRAIN 1.125 OZ,SYSCO,FLOWERS SPECIALITY,2423238,CASE,8,24 CT,30.83,9/19/2025,BAKERY,
SPICE PEPPER SUPREME,SYSCO,IMPERIAL,1057983,CASE,1,21 OZ,33.35,10/3/2025,BAKERY,
APPETIZER FRANK IN PUFF PASTRY,SYSCO,IMPERIAL,6944334,CASE,2,50 CT,55.64,9/10/2025,KITCHEN,
APPETIZER SPANAKOPITA,SYSCO,IMPERIAL,6986178,CASE,5,20 CT,86.42,9/30/2025,KITCHEN,
APPETIZER VEGETABLE SPRING ROLL,SYSCO,JADE MOUNTAIN,4240331,CASE,3,48 CT,81.15,9/29/2025,KITCHEN,
APPLE FUJI EXTRA FANCY FRESH,SYSCO,PROPACK,7455116,CASE,1,100 CT,40.56,7/9/2025,KITCHEN,
APPLE SLICES IN WATER 6.5#,SYSCO,RELIANCE,4061875,CASE,6,#10,59.85,7/9/2025,KITCHEN,
